timestamp(ms),adc1,adc2,adc3,
"1747073284.717","0.206452","0.422581","3.3",
"1747073284.718","0.196774","0.425806","3.3",
"1747073284.719","0.212903","0.390323","3.3",
"1747073284.72","0.241935","0.387097","3.3",
"1747073284.721","0.225806","0.4","3.290323",
"1747073284.722","0.264516","0.380645","3.3",
"1747073284.723","0.277419","0.351613","3.3",
"1747073284.724","0.270968","0.374194","3.3",
"1747073284.725","0.280645","0.393548","3.3",
"1747073284.726","0.290323","0.380645","3.3",
"1747073284.727","0.293548","0.419355","3.3",
"1747073284.728","0.283871","0.383871","3.3",
"1747073284.729","0.332258","0.396774","3.3",
"1747073284.73","0.335484","0.409677","3.3",
"1747073284.731","0.36129","0.425806","3.290323",
"1747073284.732","0.367742","0.432258","3.3",
"1747073284.733","0.364516","0.335484","3.3",
"1747073284.734","0.354839","0.351613","3.3",
"1747073284.735","0.341935","0.293548","3.3",
"1747073284.736","0.358065","0.374194","3.3",
"1747073284.737","0.351613","0.354839","3.3",
"1747073284.738","0.33871","0.377419","3.3",
"1747073284.739","0.309677","0.270968","3.296774",
"1747073284.74","0.316129","0.345161","3.3",
"1747073284.741","0.312903","0.312903","3.3",
"1747073284.742","0.264516","0.177419","3.290323",
"1747073284.743","0.245161","0.180645","3.3",
"1747073284.744","0.251613","0.177419","3.3",
"1747073284.745","0.219355","0.193548","3.3",
"1747073284.746","0.26129","0.193548","3.3",
"1747073284.747","0.248387","0.209677","3.3",
"1747073284.748","0.216129","0.206452","3.293548",
"1747073284.749","0.341935","0.219355","3.3",
"1747073284.75","0.225806","0.241935","3.3",
"1747073284.751","0.380645","0.229032","3.3",
"1747073284.752","0.335484","0.264516","3.3",
"1747073284.753","0.306452","0.287097","3.3",
"1747073284.754","0.409677","0.290323","3.3",
"1747073284.756","0.416129","0.322581","3.3",
"1747073284.757","0.448387","0.335484","3.3",
"1747073284.758","0.464516","0.3","3.296774",
"1747073284.759","0.458065","0.303226","3.3",
"1747073284.76","0.419355","0.306452","3.287097",
"1747073284.761","0.383871","0.283871","3.3",
"1747073284.762","0.354839","0.280645","3.3",
"1747073284.763","0.458065","0.254839","3.3",
"1747073284.764","0.409677","0.264516","3.3",
"1747073284.765","0.429032","0.241935","3.3",
"1747073284.766","0.419355","0.26129","3.3",
"1747073284.767","0.409677","0.290323","3.3",
"1747073284.768","0.33871","0.264516","3.3",
"1747073284.769","0.396774","0.280645","3.3",
"1747073284.77","0.409677","0.287097","3.3",
"1747073284.771","0.419355","0.241935","3.3",
"1747073284.772","0.4","0.251613","3.3",
"1747073284.773","0.335484","0.241935","3.3",
"1747073284.774","0.451613","0.348387","3.3",
"1747073284.775","0.448387","0.390323","3.3",
"1747073284.776","0.416129","0.351613","3.3",
"1747073284.777","0.36129","0.332258","3.3",
"1747073284.778","0.43871","0.429032","3.3",
"1747073284.779","0.419355","0.409677","3.293548",
"1747073284.78","0.419355","0.419355","3.3",
"1747073284.781","0.464516","0.406452","3.3",
"1747073284.782","0.409677","0.441935","3.3",
"1747073284.783","0.309677","0.406452","3.3",
"1747073284.784","0.412903","0.409677","3.3",
"1747073284.785","0.280645","0.406452","3.3",
"1747073284.786","0.36129","0.425806","3.3",
"1747073284.787","0.258065","0.429032","3.3",
"1747073284.788","0.232258","0.370968","3.3",
"1747073284.789","0.222581","0.364516","3.3",
"1747073284.79","0.274194","0.409677","3.3",
"1747073284.791","0.258065","0.4","3.3",
"1747073284.792","0.216129","0.412903","3.3",
"1747073284.793","0.219355","0.387097","3.3",
"1747073284.794","0.264516","0.33871","3.3",
"1747073284.795","0.267742","0.425806","3.3",
"1747073284.796","0.280645","0.419355","3.3",
"1747073284.797","0.264516","0.380645","0.003226",
"1747073284.798","0.270968","0.383871","0.012903",
"1747073284.799","0.3","0.409677","0.006452",
"1747073284.8","0.306452","0.432258","0.006452",
"1747073284.801","0.325806","0.380645","0.009677",
"1747073284.802","0.348387","0.451613","0.006452",
"1747073284.803","0.335484","0.393548","0.009677",
"1747073284.804","0.370968","0.412903","0.009677",
"1747073284.805","0.345161","0.370968","0.019355",
"1747073284.806","0.341935","0.345161","0.012903",
"1747073284.807","0.358065","0.409677","0.012903",
"1747073284.808","0.351613","0.374194","0.009677",
"1747073284.809","0.335484","0.377419","0.006452",
"1747073284.81","0.3","0.23871","0.012903",
"1747073284.811","0.293548","0.245161","0.012903",
"1747073284.812","0.306452","0.235484","0.003226",
"1747073284.813","0.264516","0.209677","0.016129",
"1747073284.814","0.241935","0.219355","0.003226",
"1747073284.815","0.235484","0.170968","0.009677",
"1747073284.816","0.219355","0.187097","0",
"1747073284.817","0.219355","0.170968","0.025806",
"1747073284.818","0.274194","0.203226","0.006452",
"1747073284.819","0.3","0.206452","0.012903",
"1747073284.82","0.206452","0.225806","0",
"1747073284.821","0.232258","0.222581","0.016129",
"1747073284.822","0.23871","0.245161","0.012903",
"1747073284.823","0.3","0.270968","0.025806",
"1747073284.824","0.322581","0.267742","0.016129",
"1747073284.825","0.393548","0.267742","0",
"1747073284.826","0.351613","0.309677","0.012903",
"1747073284.827","0.370968","0.312903","0.006452",
"1747073284.828","0.409677","0.332258","0.006452",
"1747073284.829","0.406452","0.329032","0.019355",
"1747073284.83","0.435484","0.322581","0.06129",
"1747073284.831","0.403226","0.309677","0",
"1747073284.832","0.451613","0.3","0.006452",
"1747073284.833","0.432258","0.283871","0",
"1747073284.834","0.441935","0.26129","0",
"1747073284.835","0.432258","0.270968","0.006452",
"1747073284.836","0.4","0.26129","0.022581",
"1747073284.837","0.419355","0.241935","0",
"1747073284.838","0.403226","0.26129","0.009677",
"1747073284.839","0.406452","0.264516","0.012903",
"1747073284.84","0.33871","0.251613","0.012903",
"1747073284.841","0.406452","0.26129","0.009677",
"1747073284.842","0.387097","0.293548","0.009677",
"1747073284.843","0.403226","0.293548","0.016129",
"1747073284.844","0.419355","0.319355","0.016129",
"1747073284.845","0.412903","0.319355","0.012903",
"1747073284.846","0.412903","0.329032","0.012903",
"1747073284.847","0.435484","0.4","0.022581",
"1747073284.848","0.441935","0.341935","0.009677",
"1747073284.849","0.448387","0.425806","0.006452",
"1747073284.85","0.387097","0.319355","0.012903",
"1747073284.851","0.448387","0.43871","0.035484",
"1747073284.852","0.458065","0.458065","0.009677",
"1747073284.853","0.374194","0.393548","0.009677",
"1747073284.854","0.364516","0.406452","0",
"1747073284.855","0.296774","0.409677","0.009677",
"1747073284.856","0.280645","0.387097","0.006452",
"1747073284.857","0.351613","0.435484","0",
"1747073284.858","0.23871","0.409677","0.006452",
"1747073284.859","0.33871","0.429032","0.006452",
"1747073284.86","0.245161","0.367742","0.032258",
"1747073284.861","0.267742","0.412903","0.006452",
"1747073284.862","0.196774","0.409677","0.012903",
"1747073284.863","0.23871","0.387097","0.016129",
"1747073284.864","0.177419","0.409677","0.009677",
"1747073284.865","0.222581","0.348387","0",
"1747073284.866","0.235484","0.341935","0.016129",
"1747073284.867","0.277419","0.348387","0.016129",
"1747073284.868","0.267742","0.425806","0",
"1747073284.869","0.248387","0.370968","0",
"1747073284.87","0.283871","0.412903","0",
"1747073284.871","0.287097","0.36129","0.012903",
"1747073284.872","0.316129","0.409677","0.006452",
"1747073284.873","0.309677","0.367742","0.003226",
"1747073284.874","0.335484","0.445161","0.009677",
"1747073284.875","0.36129","0.412903","0",
"1747073284.876","0.374194","0.409677","0.009677",
"1747073284.877","0.367742","0.419355","0.019355",
"1747073284.878","0.364516","0.416129","0.029032",
"1747073284.879","0.358065","0.422581","0",
"1747073284.88","0.319355","0.325806","0.012903",
"1747073284.881","0.325806","0.364516","0.012903",
"1747073284.882","0.296774","0.264516","0.003226",
"1747073284.883","0.290323","0.264516","0.003226",
"1747073284.884","0.270968","0.225806","0",
"1747073284.885","0.274194","0.232258","0.009677",
